Address-E	Erica	Commute	Kevin	Address-K
300 Community Drive, Manhasset, NY, 11030	LIJ		Roosevelt	1000 10th Avenue, New York, NY 10019
300 Community Drive, Manhasset, NY, 11030	LIJ		IFH Downtown	16 E 16th St New York, NY 10003
234 E 149th St Bronx, NY 10451	Lincoln		LIJ	300 Community Drive, Manhasset, NY, 11030
1300 Morris Park Ave Bronx, NY 10461	Einstein		LIJ	300 Community Drive, Manhasset, NY, 11030
1000 10th Avenue, New York, NY 10019	Roosevelt		LIJ	300 Community Drive, Manhasset, NY, 11030
